nom;identifiant;groupe;musclesPrincipauxFr;musclesSecondairesFr;schemaLibelle;materielLibelle;met;role;termeAnglais;animation;musclesEcrits;classementCertain
Rowing Smith Machine;rowing-smith-machine;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;;exercises/rowing-smith-machine.webp;true;true
Rowing T-Bar Machine;rowing-t-bar-machine;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;;exercises/rowing-t-bar-machine.webp;true;true
Rowing TRX (Sangles);rowing-trx-sangles;Dos;Grand dorsal + Trapèzes;Abdominaux + Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Sangles / TRX;5.5;ancre;trx row;exercises/rowing-trx-sangles.webp;true;true
Rowing Unilatéral Élastique;rowing-unilateral-elastique;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;Élastique;5.5;ancre;single arm row resistance band;exercises/rowing-unilateral-elastique.webp;true;true
Rowing Yates (Supination);rowing-yates-supination;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;Barre;5.5;ancre;yates row barbell;;true;true
Russian Twist Développé Épaules;russian-twist-developpe-epaules;Abdominaux;Abdominaux + Obliques;Deltoïde antérieur + Fléchisseurs de hanche;Gainage / abdominaux;Poids du corps;5.5;accessoire;;exercises/russian-twist-avec-developpe-epaule.webp;true;true
Safety Bar Squat;safety-bar-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);Barre;6.5;ancre;;exercises/safety-bar-squat.webp;true;true
Sauts à la Corde;sauts-a-la-corde;Mollets;Mollets;Quadriceps;Saut / pliométrie;Cardio / conditionnement;8;accessoire;jump rope;exercises/sauts-a-la-corde.webp;true;true
Seal Row;seal-row;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Barre;5.5;ancre;;exercises/seal-row-halteres.webp;true;true
Sissy Squat;sissy-squat;Jambes;Quadriceps;Abdominaux + Mollets;Extension de genou (quadriceps);Poids du corps;6.5;accessoire;;exercises/sissy-squat.webp;true;true
Sissy Squat Machine;sissy-squat-machine;Jambes;Quadriceps;Abdominaux + Mollets;Extension de genou (quadriceps);"Guidé (machine, poulie)";6.5;accessoire;sissy squat machine;exercises/sissy-squat-machine.webp;true;true
Skull Crusher Barre EZ;skull-crusher-barre-ez;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Barre;4;accessoire;skull crusher ez bar;;true;true
Sled Pull;sled-pull;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Cardio / conditionnement;5.5;ancre;;exercises/sled-pull.webp;true;true
Sled Push;sled-push;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets;Squat (flexion hanche+genou);Cardio / conditionnement;6.5;ancre;;exercises/sled-push-hyrox.webp;true;true
Smith Machine Développé Couché;smith-machine-developpe-couche;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;smith machine bench press;exercises/developpe-couche-smith-machine.webp;true;true
Smith Machine Développé Incliné;smith-machine-developpe-incline;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);"Guidé (machine, poulie)";5.5;ancre;smith machine incline bench press;;true;true
Smith Machine Développé Militaire;smith-machine-developpe-militaire;Épaules;Deltoïde antérieur;Deltoïde moyen + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Guidé (machine, poulie)";5.5;ancre;smith machine overhead press;exercises/developpe-epaules-smith-machine.webp;true;true
Smith Machine Fentes;smith-machine-fentes;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;"Guidé (machine, poulie)";6.5;accessoire;smith machine lunge;exercises/split-squat-smith-machine.webp;true;true
Smith Machine Squat;smith-machine-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;smith machine squat;exercises/squat-smith-machine-exercice-musculation.webp;true;true
Soulevé de Terre;souleve-de-terre;Dos;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Quadriceps + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;deadlift conventional;exercises/souleve-de-terre.webp;true;true
Soulevé de Terre avec Déficit;souleve-de-terre-avec-deficit;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Quadriceps + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;;exercises/souleve-de-terre-avec-deficit.webp;true;true
Soulevé de Terre Jambes Tendues;souleve-de-terre-jambes-tendues;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;;exercises/souleve-de-terre-jambes-tendues.webp;true;true
Soulevé de Terre Machine;souleve-de-terre-machine;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Quadriceps + Trapèzes;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";6.5;ancre;;exercises/souleve-de-terre-avec-machine.webp;true;true
Soulevé de Terre Roumain Barre;souleve-de-terre-roumain-barre;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;romanian deadlift barbell;exercises/souleve-de-terre-roumain-barre.webp;true;true
Soulevé de Terre Roumain Haltères;souleve-de-terre-roumain-halteres;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;romanian deadlift dumbbell;exercises/souleve-de-terre-roumain-halteres.webp;true;true
Soulevé de Terre Roumain Kettlebell;souleve-de-terre-roumain-kettlebell;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;;exercises/souleve-de-terre-roumain-kettlebell.webp;true;true
Soulevé de Terre Roumain Landmine;souleve-de-terre-roumain-landmine;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;;exercises/souleve-de-terre-roumain-landmine.webp;true;true
Soulevé de Terre Roumain Unilatéral;souleve-de-terre-roumain-unilateral;Fessiers;Fessiers + Ischio-jambiers + Lombaires;Abdominaux + Avant-bras + Obliques + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;single leg romanian deadlift;exercises/souleve-de-terre-roumain-unilateral.webp;true;true
Soulevé de Terre Sumo;souleve-de-terre-sumo;Dos;Fessiers + Lombaires + Quadriceps;Avant-bras + Ischio-jambiers + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;sumo deadlift;exercises/souleve-de-terre-sumo.webp;true;true
Soulevé de Terre Sumo Haltères;souleve-de-terre-sumo-halteres;Fessiers;Fessiers + Lombaires + Quadriceps;Avant-bras + Ischio-jambiers + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;;exercises/deadlift-sumo-halteres-exercice-jambes-fessiers.webp;true;true
Soulevé de Terre Sumo Kettlebell;souleve-de-terre-sumo-kettlebell;Fessiers;Fessiers + Lombaires + Quadriceps;Avant-bras + Ischio-jambiers + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;;exercises/souleve-de-terre-sumo-kettlebell.webp;true;true
Soulevé de Terre Sumo Landmine;souleve-de-terre-sumo-landmine;Fessiers;Fessiers + Lombaires + Quadriceps;Avant-bras + Ischio-jambiers + Grand dorsal + Trapèzes;Charnière de hanche (hip hinge);"Poids libre (haltères, kettlebell)";6.5;ancre;;exercises/souleve-de-terre-sumo-landmine.webp;true;true
Soulevé de Terre Trap Bar;souleve-de-terre-trap-bar;Fessiers;Fessiers + Lombaires + Quadriceps;Avant-bras + Ischio-jambiers + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;;exercises/souleve-de-terre-a-la-trap-bar.webp;true;true
Soulevé de Terre Valise (Suitcase);souleve-de-terre-valise-suitcase;Jambes;Fessiers + Ischio-jambiers + Lombaires;Avant-bras + Obliques + Quadriceps + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;suitcase deadlift;exercises/souleve-de-terre-valise.webp;true;true
Split Squat Élastique (Fente Statique);split-squat-elastique-fente-statique;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Élastique;6.5;accessoire;split squat resistance band;exercises/split-squat-elastique.webp;true;true
Split Squat TRX (Sangles);split-squat-trx-sangles;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Sangles / TRX;6.5;accessoire;trx split squat;exercises/split-squat-trx-sangles.webp;true;true
Squat à la Barre;squat-a-la-barre;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);Barre;6.5;ancre;squat barbell;exercises/homme-faisant-un-squat-avec-barre.webp;true;true
Squat Avant;squat-avant;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers + Lombaires + Trapèzes;Squat (flexion hanche+genou);Barre;6.5;ancre;front squat;exercises/squat-barre-devant-front.webp;true;true
Squat avec Rotation du Tronc;squat-avec-rotation-du-tronc;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers + Obliques;Squat (flexion hanche+genou);Barre;6.5;ancre;squat with torso rotation;exercises/squat-avec-rotation-du-tronc.webp;true;true
Squat Bande Élastique;squat-bande-elastique;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);Élastique;6.5;ancre;;exercises/squat-bande-elastique.webp;true;true
Squat Barre avec Bandes Élastiques;squat-barre-avec-bandes-elastiques;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);Élastique;6.5;ancre;banded barbell squat;exercises/squat-barre-avec-bandes-elastiques.webp;true;true
Squat Bulgare;squat-bulgare;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Barre;6.5;accessoire;bulgarian split squat;exercises/squat-bulgare-halteres-exercice-musculation.webp;true;true
Squat Bulgare Élastique;squat-bulgare-elastique;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Fente;Élastique;6.5;accessoire;bulgarian split squat resistance band;exercises/squat-bulgare-elastique.webp;true;true
Squat Gobelet (Goblet Squat);squat-gobelet-goblet-squat;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);"Poids libre (haltères, kettlebell)";6.5;ancre;goblet squat;exercises/squat-goblet-kettlebell.webp;true;true
Squat Hack (Hack Squat);squat-hack-hack-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);"Guidé (machine, poulie)";6.5;ancre;hack squat;exercises/hack-squat.webp;true;true
Squat Kettlebell;squat-kettlebell;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);"Poids libre (haltères, kettlebell)";6.5;ancre;;exercises/kettlebell-back-squat.webp;true;true
Squat Pistol;squat-pistol;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Squat (flexion hanche+genou);Poids du corps;6.5;ancre;;exercises/squat-pistol.webp;true;true
Squat Pistol TRX (Sangles);squat-pistol-trx-sangles;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Squat (flexion hanche+genou);Sangles / TRX;6.5;ancre;trx pistol squat;exercises/squat-pistol-trx-sangles.webp;true;true
Squat Poids du Corps (Air Squat);squat-poids-du-corps-air-squat;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers;Squat (flexion hanche+genou);Poids du corps;6.5;ancre;air squat bodyweight;exercises/squat-poids-du-corps-air-squat.webp;true;true
Squat Sauté (Jump Squat);squat-saute-jump-squat;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Squat (flexion hanche+genou);Poids du corps;6.5;ancre;jump squat;exercises/squat-saute-jump-squat.webp;true;true
Squat Sumo;squat-sumo;Jambes;Fessiers + Quadriceps;Mollets + Ischio-jambiers + Lombaires;Squat (flexion hanche+genou);Barre;6.5;ancre;sumo squat;exercises/squat-sumo-avec-haltere.webp;true;true
Squat TRX (Sangles);squat-trx-sangles;Jambes;Fessiers + Quadriceps;Abdominaux + Mollets + Ischio-jambiers;Squat (flexion hanche+genou);Sangles / TRX;6.5;ancre;trx squat;exercises/squat-trx-sangles.webp;true;true
Superman;superman;Lombaires;Fessiers + Lombaires;Ischio-jambiers + Deltoïde postérieur;Gainage / abdominaux;Poids du corps;6.5;accessoire;;exercises/superman.webp;true;true
Suspension Passive (Dead Hang);suspension-passive-dead-hang;Dos;Avant-bras;Grand dorsal + Trapèzes;Tirage vertical;Sangles / TRX;5.5;ancre;dead hang;exercises/suspension-passive-dead-hang.webp;true;true
Svend Press (Serrage de Plaque);svend-press-serrage-de-plaque;Pectoraux;Pectoraux;Deltoïde antérieur + Triceps;Poussée horizontale (pectoraux);Polyvalent / non déterminé;5.5;ancre;svend press plate;exercises/svend-press.webp;true;true
Tate Press;tate-press;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);Polyvalent / non déterminé;4;accessoire;tate press dumbbell;exercises/tate-press.webp;true;true
Thruster;thruster;Full Body;Deltoïde antérieur + Fessiers + Quadriceps;Abdominaux + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);Barre;8;ancre;;exercises/thruster.webp;true;true
Thruster Kettlebell;thruster-kettlebell;Full Body;Deltoïde antérieur + Fessiers + Quadriceps;Abdominaux + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";8;ancre;;exercises/thruster-kettlebell.webp;true;true
Thrusters Haltères;thrusters-halteres;Full Body;Deltoïde antérieur + Fessiers + Quadriceps;Abdominaux + Trapèzes + Triceps;Poussée verticale (au-dessus de la tête);"Poids libre (haltères, kettlebell)";8;ancre;dumbbell thruster;;true;true
Tirage Cable Fessiers (Cable Pull Through);tirage-cable-fessiers-cable-pull-through;Fessiers;Fessiers;Ischio-jambiers + Lombaires;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";6.5;ancre;cable pull through glute;;true;true
Tirage en Rack (Rack Pull);tirage-en-rack-rack-pull;Dos;Fessiers + Lombaires + Trapèzes;Avant-bras + Ischio-jambiers + Grand dorsal;Charnière de hanche (hip hinge);"Guidé (machine, poulie)";6.5;ancre;rack pull barbell;exercises/rack-pull.webp;true;true
Tirage Incliné Poulie Haute;tirage-incline-poulie-haute;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;;exercises/tirage-incline-poulie-haute.webp;true;true
Tirage Iso-Latéral Hammer Strength;tirage-iso-lateral-hammer-strength;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;;exercises/tirage-avant-iso-laterale-hammer-strength.webp;true;true
Tirage Menton;tirage-menton;Trapèzes;Deltoïde moyen + Trapèzes;Biceps + Deltoïde antérieur;Élévation / rotation épaule;"Guidé (machine, poulie)";5.5;accessoire;upright row barbell;exercises/tirage-menton-machine-guidee.webp;true;true
Tirage Menton Élastique;tirage-menton-elastique;Trapèzes;Deltoïde moyen + Trapèzes;Biceps + Deltoïde antérieur;Élévation / rotation épaule;Élastique;5.5;accessoire;;exercises/tirage-menton-avec-elastique.webp;true;true
Tirage Menton Kettlebell;tirage-menton-kettlebell;Épaules;Deltoïde moyen + Trapèzes;Biceps + Deltoïde antérieur;Élévation / rotation épaule;"Poids libre (haltères, kettlebell)";5.5;accessoire;upright row kettlebell;exercises/tirage-menton-avec-kettlebell.webp;true;true
Tirage Nuque;tirage-nuque;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;behind neck pulldown;;true;true
Tirage Poulie Basse Prise Large;tirage-poulie-basse-prise-large;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;seated cable row wide grip;exercises/tirage-horizontal-prise-large.webp;true;true
Tirage Poulie Basse Prise Serrée;tirage-poulie-basse-prise-serree;Dos;Grand dorsal + Trapèzes;Biceps + Avant-bras + Lombaires + Deltoïde postérieur;Tirage horizontal;"Guidé (machine, poulie)";5.5;ancre;seated cable row close grip;;true;true
Tirage Poulie Haute (Lat Pulldown);tirage-poulie-haute-lat-pulldown;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;lat pulldown cable;exercises/tirage-vertical-poitrine.webp;true;true
Tirage Poulie Haute Prise Inversée;tirage-poulie-haute-prise-inversee;Dos;Biceps + Grand dorsal;Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;;exercises/tirage-vertical-prise-inversee.webp;true;true
Tirage Poulie Haute Prise Serrée;tirage-poulie-haute-prise-serree;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;lat pulldown close grip;exercises/tirage-vertical-prise-serree.webp;true;true
Tirage Vertical Alterné Élastique;tirage-vertical-alterne-elastique;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Élastique;5.5;ancre;alternating lat pulldown resistance band;exercises/tirage-vertical-alterne-elastique.webp;true;true
Tirage Visage (Face Pull);tirage-visage-face-pull;Épaules;Deltoïde postérieur;Biceps + Deltoïde moyen + Trapèzes;Élévation / rotation épaule;"Guidé (machine, poulie)";5.5;accessoire;face pull cable;exercises/face-pull.webp;true;true
Traction Assistée;traction-assistee;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;assisted pull up machine;exercises/traction-assistee-machine.webp;true;true
Traction Assistée avec Banc;traction-assistee-avec-banc;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;"Guidé (machine, poulie)";5.5;ancre;assisted pull up bench;exercises/traction-assistee-avec-banc.webp;true;true
Traction Australienne (Poids du Corps);traction-australienne-poids-du-corps;Dos;Grand dorsal + Trapèzes;Abdominaux + Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Poids du corps;5.5;ancre;australian pull up;exercises/traction-australienne.webp;true;true
Traction Australienne TRX (Sangles);traction-australienne-trx-sangles;Dos;Grand dorsal + Trapèzes;Abdominaux + Biceps + Avant-bras + Deltoïde postérieur;Tirage horizontal;Sangles / TRX;5.5;ancre;trx inverted row;exercises/traction-australienne-trx-sangles.webp;true;true
Traction Derrière la Nuque;traction-derriere-la-nuque;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;;exercises/traction-barre-derriere-rear-oull-up.webp;true;true
Traction Lestée;traction-lestee;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;pull-up weighted;exercises/traction-lestee-vraie.webp;true;true
Traction Prise Neutre;traction-prise-neutre;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;neutral grip pull up;exercises/traction-prise-neutre.webp;true;true
Traction Supination (Chin-up);traction-supination-chin-up;Dos;Biceps + Grand dorsal;Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;chin up;exercises/traction-supination-chin-up.webp;true;true
Tractions (Pull-up);tractions-pull-up;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;pull up;exercises/traction-musculation-dos.webp;true;true
Tractions aux Anneaux;tractions-aux-anneaux;Dos;Grand dorsal;Biceps + Avant-bras + Deltoïde postérieur + Trapèzes;Tirage vertical;Poids du corps;5.5;ancre;ring pull up;exercises/tractions-aux-anneaux.webp;true;true
Triceps Corde Poulie;triceps-corde-poulie;Triceps;Triceps;;Extension du coude (triceps);"Guidé (machine, poulie)";4;accessoire;triceps rope pushdown;;true;true
Triceps Haltère;triceps-haltere;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Poids libre (haltères, kettlebell)";4;accessoire;triceps overhead extension dumbbell;exercises/triceps-haltere-un-bras.webp;true;true
Triceps Machine;triceps-machine;Triceps;Triceps;;Extension du coude (triceps);"Guidé (machine, poulie)";4;accessoire;triceps machine;exercises/triceps-machine.webp;true;true
Triceps Poulie;triceps-poulie;Triceps;Triceps;;Extension du coude (triceps);"Guidé (machine, poulie)";4;accessoire;triceps pushdown cable;exercises/triceps-poulie-haute-barre.webp;true;true
Triceps Poulie Basse;triceps-poulie-basse;Triceps;Triceps;Deltoïde antérieur;Extension du coude (triceps);"Guidé (machine, poulie)";4;accessoire;low cable triceps extension;exercises/triceps-poulie-basse-verticale.webp;true;true
Turkish Get-Up;turkish-get-up;Full Body;Abdominaux + Deltoïde antérieur + Obliques;Fessiers + Quadriceps + Trapèzes + Triceps;Haltérophilie (explosif);Polyvalent / non déterminé;8;ancre;turkish get up;;true;true
Waiter Curl;waiter-curl;Biceps;Biceps;Avant-bras;Flexion du coude (biceps);Barre;4;accessoire;waiter curl dumbbell;exercises/waiter-curl.webp;true;true
Wall Ball;wall-ball;Full Body;Deltoïde antérieur + Fessiers + Quadriceps;Abdominaux + Mollets + Triceps;Saut / pliométrie;Cardio / conditionnement;8;accessoire;wall ball shot;exercises/wall-ball.webp;true;true
Windshield Wiper;windshield-wiper;Abdominaux;Abdominaux + Obliques;Deltoïde antérieur + Fléchisseurs de hanche;Gainage / abdominaux;Polyvalent / non déterminé;5.5;accessoire;windshield wiper ab;;true;true
Y Raise / W Raise;y-raise-w-raise;Épaules;Deltoïde postérieur + Trapèzes;;Élévation / rotation épaule;Polyvalent / non déterminé;4;accessoire;y raise band;exercises/elevation-en-y-a-la-poulie.webp;true;true
Zercher Deadlift;zercher-deadlift;Fessiers;Fessiers + Lombaires + Quadriceps;Abdominaux + Biceps + Ischio-jambiers + Trapèzes;Charnière de hanche (hip hinge);Barre;6.5;ancre;;exercises/zercher-deadlift.webp;true;true
